                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1109,                 3.2229,                 1.5033,                0.32552,                0.42492,                0.33686,                0.22321,                 1.1393,                  2.314,                 1.5098,             0.00030261,             0.00030261,             0.00030261
                      2,                 1.1202,                 2.0303,                 1.4712,                0.45052,                0.46218,                0.41527,                0.27915,                 1.1584,                 1.9674,                 1.4988,             0.00054566,             0.00054566,             0.00054566
                      3,                 1.1048,                 1.7466,                 1.4526,                0.46796,                0.47949,                0.45726,                0.32507,                 1.1055,                 1.7488,                 1.4474,             0.00072871,             0.00072871,             0.00072871
                      4,                 1.0318,                 1.5618,                 1.3941,                0.50958,                0.55173,                0.51829,                  0.375,                 1.0277,                 1.6022,                 1.3901,             0.00063903,             0.00063903,             0.00063903
                      5,                0.95496,                 1.3883,                 1.3355,                0.58331,                 0.5599,                   0.58,                0.43672,                0.94869,                 1.4296,                  1.318,             0.00054904,             0.00054904,             0.00054904
                      6,                0.87671,                 1.2521,                 1.2743,                0.64965,                0.59846,                 0.6329,                 0.4925,                 0.8759,                 1.2891,                 1.2538,             0.00045904,             0.00045904,             0.00045904
                      7,                0.82287,                 1.1311,                 1.2265,                0.65516,                0.62493,                0.66085,                 0.5235,                0.82679,                 1.1934,                 1.2168,             0.00036905,             0.00036905,             0.00036905
                      8,                0.77091,                 1.0255,                  1.188,                0.71373,                0.63556,                0.69616,                0.55987,                0.78877,                 1.0866,                 1.1973,             0.00027906,             0.00027906,             0.00027906
                      9,                0.72543,                 0.9337,                 1.1582,                0.70872,                0.67063,                0.71542,                0.59039,                 0.7387,                 1.0368,                 1.1423,             0.00018907,             0.00018907,             0.00018907
                     10,                0.67941,                0.85841,                 1.1254,                0.72927,                0.68349,                0.73335,                0.61393,                0.70705,                 0.9793,                 1.1248,             9.9081e-05,             9.9081e-05,             9.9081e-05
