                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3387,                 13.505,                 3.0159,                0.25968,                0.16491,                0.12392,                0.06399,                 3.2172,                 9.5623,                 4.2812,             0.00047345,             0.00047345,             0.00047345
                      2,                 2.7508,                 7.3407,                 3.2206,                0.24644,                0.27944,                0.16089,                0.09103,                 3.0454,                 5.7932,                 3.5951,             0.00085575,             0.00085575,             0.00085575
                      3,                 2.7663,                 4.7702,                 3.1916,                0.27148,                  0.364,                0.21614,                0.11013,                  3.239,                 5.0365,                 3.7903,              0.0011437,              0.0011437,              0.0011437
                      4,                 2.7555,                 4.0671,                  3.184,                0.35484,                0.36819,                0.23652,                0.13837,                 2.9836,                 4.8473,                 3.3872,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.5098,                 3.6261,                  2.973,                0.32886,                0.41247,                0.28122,                0.17056,                 2.9034,                 4.3105,                 3.3604,             0.00086312,             0.00086312,             0.00086312
                      6,                 2.3708,                 3.2924,                 2.8489,                0.44798,                0.48124,                0.43415,                0.29291,                 2.4726,                 3.4732,                 2.8593,             0.00072164,             0.00072164,             0.00072164
                      7,                 2.1932,                 2.9716,                 2.7069,                0.47181,                0.47159,                0.41005,                0.26801,                 2.4491,                 3.6876,                 2.9465,             0.00058017,             0.00058017,             0.00058017
                      8,                 2.0673,                 2.7533,                 2.6025,                0.50324,                0.47926,                0.46622,                0.33824,                 2.1315,                 3.2493,                 2.6412,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.8957,                 2.5261,                 2.4882,                0.54978,                 0.5862,                0.57427,                 0.4331,                 1.9724,                 2.6483,                 2.5098,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.7692,                 2.3439,                 2.4079,                 0.6137,                  0.568,                0.59151,                0.45347,                 1.8716,                 2.5689,                 2.4325,             0.00015576,             0.00015576,             0.00015576
